Date and Time: 2025-10-10 11:12:28,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
65.77647805,3.325,2.442,32.17996,32.19867,32.20245,32.16339,32.21686,32.18506,32.24017,32.15979
65.85195613,1.842,1.99,32.18192,32.19415,32.2001,32.16293,32.21747,32.18533,32.24017,32.16162
65.92617202,0.79,1.378,32.18445,32.19196,32.1998,32.16302,32.21762,32.18576,32.2399,32.16116
66.00299501,-0.806,-0.897,32.19128,32.18912,32.19724,32.16263,32.21796,32.18573,32.23953,32.1608
66.07618618,-1.842,-0.821,32.1976,32.18771,32.19623,32.16248,32.21756,32.18613,32.23972,32.16095
66.15480494,-3.325,-0.973,32.20987,32.18747,32.19452,32.16129,32.2171,32.18607,32.2403,32.1604
66.24343204,-4.226,-1.411,32.21854,32.18881,32.1929,32.16049,32.21652,32.18637,32.24017,32.16083
66.305269,-5.382,-1.843,32.23346,32.18964,32.19244,32.16013,32.21664,32.18613,32.23996,32.16028
66.38024712,-5.993,-2.344,32.24283,32.19205,32.19138,32.15927,32.21573,32.18594,32.24014,32.15942
66.4573071,-6.656,-2.755,32.26025,32.19629,32.19006,32.15851,32.21552,32.18634,32.24084,32.15906
66.53315711,-6.906,-3.12,32.27094,32.19916,32.18976,32.15787,32.21494,32.18665,32.24005,32.15817
66.60809708,-6.984,-3.373,32.28351,32.20511,32.18924,32.15723,32.21494,32.18533,32.23981,32.15884
66.68172097,-6.833,-3.515,32.29288,32.20877,32.19006,32.15726,32.21466,32.18619,32.24014,32.15829
66.75811601,-6.311,-3.555,32.30316,32.21423,32.19,32.15643,32.21466,32.18567,32.24005,32.15842
66.83307409,-5.784,-3.442,32.3092,32.21805,32.19177,32.15558,32.2149,32.18619,32.24045,32.15717
66.90901613,-4.74,-3.26,32.31332,32.22455,32.19275,32.15625,32.21439,32.18515,32.2406,32.15918
66.98376703,-3.898,-2.894,32.31674,32.22751,32.194,32.15598,32.2146,32.18546,32.2402,32.16016
67.059515,-2.478,-2.496,32.31631,32.23239,32.19528,32.15613,32.21442,32.18567,32.24014,32.15973
