Date and Time: 2025-10-21 11:45:41,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
275.3885288,-5.635,-3.051,32.82648,32.85056,32.80096,32.62485,32.51425,32.25873,32.10138,32.03308
275.475827,-5.666,-3.072,32.81195,32.84027,32.79532,32.62082,32.51437,32.26031,32.10565,32.03497
275.5392258,-5.713,-3.092,32.78491,32.82312,32.78552,32.61563,32.51526,32.26611,32.11398,32.04474
275.6143858,-5.743,-3.112,32.76697,32.81064,32.77551,32.61185,32.51529,32.26746,32.1174,32.05151
275.6908629,-5.79,-3.13,32.73935,32.79178,32.76892,32.6105,32.51584,32.27185,32.12384,32.05615
275.7673769,-5.819,-3.149,32.72266,32.78061,32.76346,32.60797,32.51627,32.27301,32.1257,32.06058
275.847615,-5.863,-3.166,32.69821,32.76202,32.75064,32.6015,32.51657,32.27979,32.13425,32.06934
275.9163349,-5.892,-3.185,32.68015,32.75043,32.74362,32.60004,32.51706,32.28134,32.13733,32.07132
275.9930809,-5.935,-3.202,32.65485,32.73096,32.73898,32.59677,32.5163,32.2829,32.14081,32.08041
276.0674999,-5.963,-3.221,32.63354,32.7193,32.73105,32.59308,32.51517,32.28436,32.14548,32.0842
276.160944,-6.005,-3.238,32.60764,32.69977,32.71692,32.58789,32.51682,32.2887,32.1517,32.08838
276.2236869,-6.032,-3.255,32.5889,32.68591,32.70944,32.58511,32.51764,32.29138,32.15359,32.08899
276.2967899,-6.072,-3.272,32.56232,32.67178,32.70059,32.57813,32.51395,32.29318,32.16064,32.10107
276.3722639,-6.098,-3.289,32.54382,32.6575,32.69052,32.57452,32.51389,32.29675,32.1658,32.10321
276.4482858,-6.138,-3.305,32.51752,32.63672,32.68134,32.57144,32.51477,32.2999,32.16779,32.10944
276.544086,-6.163,-3.323,32.49875,32.62396,32.67261,32.56668,32.51309,32.29996,32.17041,32.11282
276.600652,-6.2,-3.337,32.47321,32.6044,32.66132,32.55823,32.51196,32.30371,32.17807,32.11786
276.6757689,-6.226,-3.354,32.45483,32.59268,32.65204,32.55396,32.50946,32.30472,32.18146,32.12592
276.751781,-6.262,-3.367,32.42621,32.57297,32.64325,32.55136,32.50998,32.30591,32.18335,32.12836
276.8268218,-6.286,-3.383,32.40955,32.55969,32.63272,32.54587,32.50848,32.30658,32.18744,32.13388
276.9126129,-6.32,-3.396,32.38437,32.53961,32.61954,32.53818,32.50577,32.31177,32.19235,32.13864
276.9791658,-6.343,-3.411,32.36337,32.52686,32.61438,32.53506,32.50607,32.31216,32.19318,32.1394
277.0552979,-6.377,-3.424,32.33401,32.50711,32.60364,32.52893,32.50311,32.31223,32.1976,32.147
