Date and Time: 2025-10-24 11:52:27,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
378.5523942,-3.338,-1.849,31.09967,30.76563,30.40009,30.0191,29.76181,29.39764,29.18024,29.08353
378.629287,-3.416,-1.883,31.08197,30.75845,30.3999,30.02307,29.76846,29.40656,29.19031,29.09512
378.7246041,-3.468,-1.92,31.07129,30.75284,30.39963,30.02487,29.77295,29.41269,29.1965,29.10199
378.783298,-3.545,-1.953,31.05362,30.7442,30.39807,30.02902,29.78,29.42096,29.20615,29.11227
378.8560581,-3.596,-1.991,31.0416,30.73819,30.39731,30.03119,29.78427,29.42703,29.21255,29.11853
378.9318089,-3.672,-2.024,31.02417,30.72931,30.39584,30.03336,29.79004,29.43607,29.22269,29.12918
379.009634,-3.722,-2.061,31.0123,30.72336,30.39505,30.03568,29.7944,29.44186,29.22952,29.13599
379.0994101,-3.797,-2.093,30.99347,30.71368,30.39313,30.03879,29.80072,29.44943,29.23859,29.14603
379.1646821,-3.847,-2.131,30.98068,30.70755,30.39206,30.04071,29.80493,29.45508,29.2453,29.15347
379.235539,-3.922,-2.162,30.96194,30.6973,30.38916,30.04242,29.81049,29.46362,29.25482,29.16336
379.3097219,-3.97,-2.196,30.94946,30.69089,30.38766,30.04446,29.81448,29.46945,29.26147,29.16925
379.4180381,-4.043,-2.228,30.9296,30.68008,30.38568,30.04672,29.82013,29.47662,29.27075,29.18015
379.4712641,-4.091,-2.264,30.91705,30.67337,30.38309,30.04779,29.8237,29.48239,29.27759,29.18707
379.5382421,-4.163,-2.294,30.89667,30.66202,30.3797,30.04962,29.82919,29.4903,29.28607,29.19556
379.61431,-4.21,-2.329,30.88354,30.6546,30.37863,30.05099,29.83261,29.49509,29.29175,29.20212
379.6905282,-4.28,-2.361,30.86353,30.64395,30.37555,30.05228,29.83749,29.50302,29.30118,29.21301
379.791517,-4.327,-2.395,30.849,30.63632,30.37238,30.05341,29.84094,29.50821,29.30753,29.21899
379.8481281,-4.397,-2.425,30.82794,30.62402,30.36874,30.05472,29.84647,29.51569,29.31604,29.22833
379.917212,-4.444,-2.458,30.81366,30.6156,30.36557,30.05515,29.84958,29.52008,29.32205,29.23465
